stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,37,0_14,Hunan,0.00922473636990096,0.4156120763717454,0.3426838903768858,22
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.13351109244089016,0.3426838903768858,22
within-group,43,0_14,Jiangsu,0.00900905712673314,0.33446735125320187,0.3426838903768858,22
within-group,46,0_14,Jiangxi,0.00716065594808189,0.45835068952910407,0.3426838903768858,22
within-group,49,0_14,Jilin,0.00184261845024983,0.1478121676131031,0.3426838903768858,22
within-group,52,0_14,Liaoning,0.00341922056900947,0.18282083098609403,0.3426838903768858,22
within-group,55,0_14,Ningxia,0.00105941200851006,0.15808685818893928,0.3426838903768858,22
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.05451722152798076,0.3426838903768858,22
within-group,61,0_14,Shaanxi,0.00494501940169968,0.22477210359649072,0.3426838903768858,22
within-group,64,0_14,Shandong,0.0132681820105458,0.2879555434991303,0.3426838903768858,22
within-group,67,0_14,Shanghai,0.00175819768793889,0.3291028906639992,0.3426838903768858,22
within-group,70,0_14,Shanxi,0.00408244315435452,0.19106223658673785,0.3426838903768858,22
within-group,73,0_14,Sichuan,0.01337774208945019,0.33252281264939465,0.3426838903768858,22
within-group,76,0_14,Tianjin,0.00134811687091403,0.278954241103281,0.3426838903768858,22
within-group,79,0_14,Tibet,6.44329308226729e-4,0.02381745615905103,0.3426838903768858,22
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.20062964851181972,0.3426838903768858,22
within-group,85,0_14,Yunnan,0.006666392519298,0.25272961935968247,0.3426838903768858,22
within-group,88,0_14,Zhejiang,0.00606367244250025,0.3963066173965544,0.3426838903768858,22
within-group,1,0_14,Anhui,0.00815903213514205,0.3297619741654244,0.31465788480749535,23
within-group,4,0_14,Beijing,0.00187020855252295,0.23352779884854025,0.31465788480749535,23
within-group,7,0_14,Fujian,0.00576178991622385,0.46405213152116725,0.31465788480749535,23
within-group,10,0_14,Gansu,0.00347206328980528,0.11326219779096144,0.31465788480749535,23
within-group,13,0_14,Guangdong,0.01713953789737434,0.5722279476250228,0.31465788480749535,23
within-group,16,0_14,Guangxi,0.00854635802776593,0.5105726341733884,0.31465788480749535,23
within-group,19,0_14,Guizhou,0.00666968621359777,0.204929463471601,0.31465788480749535,23
within-group,22,0_14,Hainan,0.00145309002585493,0.6609965424270493,0.31465788480749535,23
within-group,25,0_14,Hebei,0.01047287258744416,0.2557178335777174,0.31465788480749535,23
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.11831589709695656,0.31465788480749535,23
within-group,31,0_14,Henan,0.0158942652598008,0.30089143114068034,0.31465788480749535,23
within-group,34,0_14,Hubei,0.0067778895560246,0.3460769148286433,0.31465788480749535,23
within-group,37,0_14,Hunan,0.00922473636990096,0.3875340617332965,0.31465788480749535,23
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.120183580166539,0.31465788480749535,23
within-group,43,0_14,Jiangsu,0.00900905712673314,0.30502310953998013,0.31465788480749535,23
within-group,46,0_14,Jiangxi,0.00716065594808189,0.4292821216228619,0.31465788480749535,23
within-group,49,0_14,Jilin,0.00184261845024983,0.13025171379024486,0.31465788480749535,23
within-group,52,0_14,Liaoning,0.00341922056900947,0.16216280389677315,0.31465788480749535,23
within-group,55,0_14,Ningxia,0.00105941200851006,0.14315448976630207,0.31465788480749535,23
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.04165104554916739,0.31465788480749535,23
within-group,61,0_14,Shaanxi,0.00494501940169968,0.198718172154579,0.31465788480749535,23
within-group,64,0_14,Shandong,0.0132681820105458,0.2606083735354395,0.31465788480749535,23
within-group,67,0_14,Shanghai,0.00175819768793889,0.3022489426172667,0.31465788480749535,23
