stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,46,0_14,Jiangxi,0.00716065594808189,0.9983321666892172,0.9604038781310996,-14
within-group,49,0_14,Jilin,0.00184261845024983,0.7517851811397661,0.9604038781310996,-14
within-group,52,0_14,Liaoning,0.00341922056900947,0.8253849346798182,0.9604038781310996,-14
within-group,55,0_14,Ningxia,0.00105941200851006,0.870880600243845,0.9604038781310996,-14
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.7959905094288677,0.9604038781310996,-14
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9678101461483688,0.9604038781310996,-14
within-group,64,0_14,Shandong,0.0132681820105458,0.9716253273225948,0.9604038781310996,-14
within-group,67,0_14,Shanghai,0.00175819768793889,0.988407789040502,0.9604038781310996,-14
within-group,70,0_14,Shanxi,0.00408244315435452,0.9177107357193972,0.9604038781310996,-14
within-group,73,0_14,Sichuan,0.01337774208945019,0.995353565733364,0.9604038781310996,-14
within-group,76,0_14,Tianjin,0.00134811687091403,0.9248924205786327,0.9604038781310996,-14
within-group,79,0_14,Tibet,6.44329308226729e-4,0.7446594737656865,0.9604038781310996,-14
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.8546820505455899,0.9604038781310996,-14
within-group,85,0_14,Yunnan,0.006666392519298,0.9995746659020384,0.9604038781310996,-14
within-group,88,0_14,Zhejiang,0.00606367244250025,0.9958001296940258,0.9604038781310996,-14
within-group,1,0_14,Anhui,0.00815903213514205,0.9885380890564563,0.9552021906294942,-13
within-group,4,0_14,Beijing,0.00187020855252295,0.9093263932361226,0.9552021906294942,-13
within-group,7,0_14,Fujian,0.00576178991622385,0.9996884463103012,0.9552021906294942,-13
within-group,10,0_14,Gansu,0.00347206328980528,0.8936827958680765,0.9552021906294942,-13
within-group,13,0_14,Guangdong,0.01715405353434751,0.9995816870068672,0.9552021906294942,-13
within-group,16,0_14,Guangxi,0.00854635802776593,0.9997401605381536,0.9552021906294942,-13
within-group,19,0_14,Guizhou,0.00666968621359777,0.9972958934636174,0.9552021906294942,-13
within-group,22,0_14,Hainan,0.00143857438888176,1,0.9552021906294942,-13
within-group,25,0_14,Hebei,0.01047287258744416,0.9309917862996594,0.9552021906294942,-13
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.7076494015769643,0.9552021906294942,-13
within-group,31,0_14,Henan,0.0158942652598008,0.9855711440929144,0.9552021906294942,-13
within-group,34,0_14,Hubei,0.0067778895560246,0.9942922338937924,0.9552021906294942,-13
within-group,37,0_14,Hunan,0.00922473636990096,0.9958219716596064,0.9552021906294942,-13
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.7332139230798042,0.9552021906294942,-13
