stats_type,popgrp,age_group_m3,Prov_En,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,13,0_14,Guangdong,0.01662764777845244,0.998834233708911,0.9475442646412298,-14
within-group,16,0_14,Guangxi,0.01247369584553776,0.9982389636396022,0.9475442646412298,-14
within-group,19,0_14,Guizhou,0.00936294712703839,0.997930575557604,0.9475442646412298,-14
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9475442646412298,-14
within-group,25,0_14,Hebei,0.01568965512254203,0.9269837300154822,0.9475442646412298,-14
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.6921866691096631,0.9475442646412298,-14
within-group,31,0_14,Henan,0.02215767763694521,0.9763730495759184,0.9475442646412298,-14
within-group,34,0_14,Hubei,0.01358416131756542,0.990669317689669,0.9475442646412298,-14
within-group,37,0_14,Hunan,0.01500601692425047,0.9944404234299612,0.9475442646412298,-14
within-group,40,0_14,Jiangsu,0.01408569897696787,0.9848919187414924,0.9475442646412298,-14
within-group,43,0_14,Jiangxi,0.0106032824765449,0.996916735097405,0.9475442646412298,-14
within-group,46,0_14,Jilin,0.0057061550879989,0.7298798758965733,0.9475442646412298,-14
within-group,49,0_14,Liaoning,0.00810496095245003,0.7997940984899473,0.9475442646412298,-14
within-group,52,0_14,Neimenggu,0.00539920110087013,0.7053688615146813,0.9475442646412298,-14
within-group,55,0_14,Ningxia,0.00138936690749664,0.8572732012166688,0.9475442646412298,-14
within-group,58,0_14,Qinghai,0.00121246590503282,0.7880060355890713,0.9475442646412298,-14
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9616905961546092,0.9475442646412298,-14
within-group,64,0_14,Shandong,0.01985728082783897,0.94894217267916,0.9475442646412298,-14
within-group,67,0_14,Shanghai,0.00215114145344414,0.990896663366491,0.9475442646412298,-14
within-group,70,0_14,Shanxi,0.0071604878943872,0.8982512869133985,0.9475442646412298,-14
within-group,73,0_14,Sichuan_Chongqing,0.02198023969698392,0.9949573307953726,0.9475442646412298,-14
within-group,76,0_14,Tianjin,0.00176456591592749,0.9144376302142276,0.9475442646412298,-14
within-group,79,0_14,Xinjiang,0.00443144600832027,0.8340855490768263,0.9475442646412298,-14
within-group,82,0_14,Xizang,6.912305121974087e-4,0.7401098541342525,0.9475442646412298,-14
within-group,85,0_14,Yunnan,0.01035317309808648,0.9989139429660548,0.9475442646412298,-14
within-group,88,0_14,Zhejiang,0.00853805721472757,0.9957285819016116,0.9475442646412298,-14
within-group,1,0_14,Anhui,0.01410859002896082,0.9830518044441396,0.9412877484586688,-13
within-group,4,0_14,Beijing,0.00192930046313546,0.892948884215779,0.9412877484586688,-13
within-group,7,0_14,Fujian,0.00836499261741459,0.999142378729442,0.9412877484586688,-13
within-group,10,0_14,Gansu,0.00553588132726672,0.8796251886465681,0.9412877484586688,-13
within-group,13,0_14,Guangdong,0.01662764777845244,0.9984534252194284,0.9412877484586688,-13
within-group,16,0_14,Guangxi,0.01247369584553776,0.9978768242599738,0.9412877484586688,-13
within-group,19,0_14,Guizhou,0.00936294712703839,0.9976773144808856,0.9412877484586688,-13
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9412877484586688,-13
within-group,25,0_14,Hebei,0.01568965512254203,0.9122884482819092,0.9412877484586688,-13
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.6767528376450254,0.9412877484586688,-13
within-group,31,0_14,Henan,0.02215767763694521,0.9708223082157874,0.9412877484586688,-13
within-group,34,0_14,Hubei,0.01358416131756542,0.9888333225451252,0.9412877484586688,-13
within-group,37,0_14,Hunan,0.01500601692425047,0.9935056203893332,0.9412877484586688,-13
within-group,40,0_14,Jiangsu,0.01408569897696787,0.9796755504985484,0.9412877484586688,-13
within-group,43,0_14,Jiangxi,0.0106032824765449,0.9962898081541876,0.9412877484586688,-13
within-group,46,0_14,Jilin,0.0057061550879989,0.7137440125088769,0.9412877484586688,-13
within-group,49,0_14,Liaoning,0.00810496095245003,0.784540647342281,0.9412877484586688,-13
within-group,52,0_14,Neimenggu,0.00539920110087013,0.6891957492325425,0.9412877484586688,-13
within-group,55,0_14,Ningxia,0.00138936690749664,0.8374330274497439,0.9412877484586688,-13
within-group,58,0_14,Qinghai,0.00121246590503282,0.7678556992842492,0.9412877484586688,-13
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9545870299881744,0.9412877484586688,-13
within-group,64,0_14,Shandong,0.01985728082783897,0.936124976376381,0.9412877484586688,-13
within-group,67,0_14,Shanghai,0.00215114145344414,0.988102494898874,0.9412877484586688,-13
within-group,70,0_14,Shanxi,0.0071604878943872,0.8823628670846175,0.9412877484586688,-13
within-group,73,0_14,Sichuan_Chongqing,0.02198023969698392,0.9942715100309172,0.9412877484586688,-13
within-group,76,0_14,Tianjin,0.00176456591592749,0.894864204399081,0.9412877484586688,-13
within-group,79,0_14,Xinjiang,0.00443144600832027,0.8193938641992013,0.9412877484586688,-13
within-group,82,0_14,Xizang,6.912305121974087e-4,0.7235236600053991,0.9412877484586688,-13
within-group,85,0_14,Yunnan,0.01035317309808648,0.9985610802003848,0.9412877484586688,-13
within-group,88,0_14,Zhejiang,0.00853805721472757,0.9949574976614938,0.9412877484586688,-13
within-group,1,0_14,Anhui,0.01410859002896082,0.9780823955053188,0.9343988756752484,-12
within-group,4,0_14,Beijing,0.00192930046313546,0.8771006756939721,0.9343988756752484,-12
within-group,7,0_14,Fujian,0.00836499261741459,0.998876895994526,0.9343988756752484,-12
within-group,10,0_14,Gansu,0.00553588132726672,0.8629144133618406,0.9343988756752484,-12
within-group,13,0_14,Guangdong,0.01662764777845244,0.9979784941012798,0.9343988756752484,-12
within-group,16,0_14,Guangxi,0.01247369584553776,0.9975719525483738,0.9343988756752484,-12
within-group,19,0_14,Guizhou,0.00936294712703839,0.9972710294314646,0.9343988756752484,-12
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9343988756752484,-12
within-group,25,0_14,Hebei,0.01568965512254203,0.8966090571759369,0.9343988756752484,-12
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.6610955287431436,0.9343988756752484,-12
within-group,31,0_14,Henan,0.02215767763694521,0.9634751018409878,0.9343988756752484,-12
within-group,34,0_14,Hubei,0.01358416131756542,0.9868792288128648,0.9343988756752484,-12
within-group,37,0_14,Hunan,0.01500601692425047,0.9923434130048112,0.9343988756752484,-12
within-group,40,0_14,Jiangsu,0.01408569897696787,0.9721122199245218,0.9343988756752484,-12
within-group,43,0_14,Jiangxi,0.0106032824765449,0.9956554050807152,0.9343988756752484,-12
