"GBCounty","popgrp1","popgrp2","popgrp3","popgrp4","popgrp5","popgrp6","popgrp7","popgrp8","popgrp9","popgrp10","popgrp11","popgrp12","popgrp13","popgrp14","popgrp15","popgrp16","popgrp17","popgrp18","popgrp19","popgrp20","popgrp21","popgrp22","popgrp23","popgrp24","popgrp25","popgrp26","popgrp27","popgrp28","popgrp29","popgrp30","popgrp31","popgrp32","popgrp33","popgrp34","popgrp35","popgrp36","popgrp37","popgrp38"
654225,1.68148723016317e-07,1.42890331146914e-07,9.28065484115812e-07,8.94147072176898e-07,1.24992956336593e-06,1.18137107114898e-06,1.2239495031574e-06,1.18353607616635e-06,7.20225002447574e-07,6.41563153482859e-07,8.2125856992519e-07,7.0362663064768e-07,1.29683800540911e-06,1.1315759557493e-06,1.66705386338066e-06,1.53426688898151e-06,1.44405834659078e-06,1.28096130194834e-06,1.61365040628535e-06,1.46570839676455e-06,1.92108111875295e-06,1.82004755127533e-06,1.85180095819687e-06,1.77602578258866e-06,1.36972650766082e-06,1.2658062668267e-06,7.97443514734038e-07,8.19093564907812e-07,6.8991493220429e-07,7.49091736012607e-07,4.15680963336476e-07,5.00116159014197e-07,3.47844139458648e-07,3.99804259875708e-07,2.19387175094251e-07,2.07118813329112e-07,1.06806914190622e-07,1.24848622668768e-07
659006,1.95572119903099e-07,1.9196377820747e-07,1.18930942287936e-06,1.11281257893202e-06,1.80200584279719e-06,1.65262049659814e-06,1.84819261650124e-06,1.62086708967661e-06,1.52055519053812e-06,1.22611450817478e-06,1.93912282723109e-06,1.23982620661817e-06,3.63071341414203e-06,1.89221438518792e-06,4.24773984409461e-06,2.27758527828111e-06,3.12049389838007e-06,1.68581724019793e-06,3.14719562692773e-06,1.90520441529218e-06,5.2616838605664e-06,4.02185765394823e-06,6.20418271146472e-06,4.72909262629154e-06,4.07165276934791e-06,2.84409492449488e-06,1.68726057687618e-06,1.16765937270559e-06,1.03054238827168e-06,1.08899752374087e-06,7.16616660751945e-07,1.13301929242755e-06,7.93113504699283e-07,1.09477087045388e-06,7.14451655734568e-07,7.75071796221137e-07,3.82484219736688e-07,4.29392661779866e-07
659003,6.2929479171772e-07,5.67952982892025e-07,4.69300920933525e-06,4.50465377282341e-06,1.06359479820364e-05,9.99727150191007e-06,8.00041520754891e-06,7.63958103798599e-06,6.20129603810822e-06,5.69973654241577e-06,6.74038228743521e-06,5.51571111593869e-06,9.76778097006805e-06,7.33431533053577e-06,1.12515310753108e-05,8.20248234250414e-06,8.40960115583325e-06,6.10314914398711e-06,7.4050388277701e-06,5.43488426195659e-06,8.69249514477057e-06,6.67182379521826e-06,8.43774622105916e-06,6.97997617602499e-06,5.5943729649034e-06,4.3061949795638e-06,2.67378119646118e-06,2.13974662550807e-06,1.70241561199782e-06,1.77241744089303e-06,1.25425957340069e-06,1.42745997479088e-06,9.08580438959415e-07,9.64870569411229e-07,5.3764291264874e-07,5.36199575970489e-07,3.06709044128476e-07,3.34854109354383e-07
650402,9.72087252802488e-07,8.72497022003124e-07,5.76829503463273e-06,5.55323786957323e-06,1.10797740105988e-05,1.05688328264977e-05,9.24601476088008e-06,8.85703552609126e-06,6.33552634918563e-06,6.43944659001974e-06,6.33985635922038e-06,5.75097499449371e-06,9.4365352024093e-06,7.34225368226615e-06,1.21601115142702e-05,9.66674740259044e-06,1.08502834787568e-05,8.56115150704967e-06,9.66025238753831e-06,8.24289576949518e-06,1.05854311982976e-05,8.95157407851675e-06,1.01019134110833e-05,8.85270551605651e-06,7.13152652724141e-06,6.08943744554372e-06,4.10845785464333e-06,3.96845419685292e-06,2.92997345685085e-06,3.07502879301514e-06,2.09355985180402e-06,2.32232871530691e-06,1.30549802547862e-06,1.60787705957234e-06,7.05069967325932e-07,8.42186951759839e-07,3.1464739585886e-07,3.99082591536582e-07
650421,7.50535072690859e-07,6.97853283934674e-07,4.38269182351114e-06,4.14814961329525e-06,8.299185899947e-06,7.85968988141937e-06,7.32060363209238e-06,6.79089907117402e-06,4.50248876780603e-06,3.89195735290558e-06,4.4959937527539e-06,3.69782856968073e-06,6.63501870992284e-06,5.72499493428518e-06,8.92342901329084e-06,8.09711876499177e-06,7.97587848401863e-06,6.96842948259898e-06,7.36751207413556e-06,6.77430069937413e-06,8.81950877245672e-06,7.68865448504655e-06,8.31217593005126e-06,7.13224819558054e-06,5.3930274982873e-06,4.58620229514462e-06,2.98409858228529e-06,2.92997345685085e-06,2.13108660543856e-06,2.39305221254124e-06,1.64901215490251e-06,1.72767400386723e-06,1.03270739328906e-06,1.20302112132275e-06,5.05167837388078e-07,5.90324701404926e-07,2.21552180111629e-07,2.63408943780926e-07
650422,4.14237626658224e-07,3.88257566449694e-07,2.13252994211682e-06,2.13613828381244e-06,3.60617669061175e-06,3.30524099319628e-06,3.35936611863072e-06,3.26699257122261e-06,2.23428517793356e-06,1.98747460595252e-06,3.40483122399565e-06,2.15129331893409e-06,4.84672456556905e-06,3.39256286223051e-06,5.3316856894616e-06,3.81185216726261e-06,4.31341166295506e-06,3.29874597814415e-06,4.6331107371878e-06,3.73535532331528e-06,5.36488243306139e-06,4.26217321087713e-06,4.84888957058642e-06,4.00886762384396e-06,3.20637243073604e-06,2.60594437258336e-06,1.73922069729324e-06,1.76375742082352e-06,1.41879995472137e-06,1.48158510022532e-06,1.08683251872349e-06,1.01105734311528e-06,6.35789806769853e-07,6.59604861961005e-07,3.4062745606739e-07,3.50009144476026e-07,1.4866367785992e-07,1.89798773190092e-07
650107,7.28885022517084e-08,5.19601204170595e-08,4.41661023545005e-07,3.98360923197456e-07,7.16616660751945e-07,6.58161525282753e-07,7.01461625630303e-07,6.35068138430727e-07,1.13662763412318e-06,9.88685624602382e-07,1.09621420713213e-06,9.01363755568157e-07,7.61360097777746e-07,5.78778007978912e-07,1.0507491017672e-06,7.30328359195336e-07,9.98788981350143e-07,7.32493364212713e-07,1.11064757391465e-06,8.01051856429667e-07,1.64251713985038e-06,1.12075093066241e-06,1.61870208465923e-06,1.05652244848021e-06,1.03992407668032e-06,6.98574952273799e-07,5.23209545866224e-07,4.7197109378829e-07,4.2361931506686e-07,4.61146068701403e-07,3.33410772676132e-07,4.4093935520588e-07,3.2330741592837e-07,3.73824199667178e-07,2.12170491702993e-07,1.97737124920476e-07,7.14451655734568e-08,7.50535072690859e-08
650109,1.6122070696071e-06,1.48808011527745e-06,9.05044264097698e-06,8.47960298472845e-06,1.16462836568126e-05,1.04519225555593e-05,1.03119188977689e-05,9.0425042892466e-06,9.81685441712861e-06,7.54432081722138e-06,1.20944396954097e-05,8.43485954770265e-06,1.67621905128756e-05,1.35781898006524e-05,2.09182784779012e-05,1.76960293437044e-05,1.58196916619772e-05,1.29763184058215e-05,1.53549372515802e-05,1.29503383456129e-05,2.05668259967469e-05,1.77580928208692e-05,1.98523743410123e-05,1.69418859293179e-05,1.29113682553002e-05,1.13872047230664e-05,6.99368787446838e-06,6.40841485143733e-06,5.30570562925307e-06,5.54385618116459e-06,3.29585930478765e-06,4.51259212455379e-06,2.73512300528688e-06,3.60112501223787e-06,2.21840847447279e-06,2.06685812325637e-06,9.66313906089481e-07,1.02693404657605e-06
650103,2.0567547665086e-06,1.96221621408312e-06,1.12334893668326e-05,1.02621237823692e-05,1.49060595446439e-05,1.37116984433907e-05,1.34071544042796e-05,1.219330825787e-05,1.35854064840437e-05,1.33948860425145e-05,2.42870262849405e-05,2.57173729330879e-05,2.41802193707499e-05,2.40950625067331e-05,2.71830813298525e-05,2.62773875642496e-05,1.99829963103941e-05,1.99909346621245e-05,2.04419773740781e-05,2.04867208111039e-05,2.90464289814754e-05,2.8470537646853e-05,2.76810324838493e-05,2.7197514696635e-05,2.05090925296168e-05,2.0073926521124e-05,1.2474758910129e-05,1.2256815071713e-05,8.74734193854414e-06,9.49859867957412e-06,5.31508731766171e-06,7.85463820304549e-06,4.90084969100348e-06,7.82071979110658e-06,4.96652150986393e-06,5.36560410140052e-06,2.6463577995744e-06,2.82027986930373e-06
650105,1.416634949704e-06,1.33508642738278e-06,7.89577329837566e-06,7.15606325077169e-06,9.83128778391113e-06,9.04611263094223e-06,8.54310979857153e-06,7.60494095770795e-06,1.03617140131686e-05,9.44375188580056e-06,1.42464546826829e-05,1.53044204678414e-05,1.76563375850525e-05,1.64966165640773e-05,2.16803602440181e-05,1.9293803046529e-05,1.5812474978586e-05,1.41793395271442e-05,1.56508212706218e-05,1.41252144017098e-05,2.27094592956115e-05,2.03517688316874e-05,2.10503437839612e-05,1.85952280942552e-05,1.50157531321911e-05,1.31581788272812e-05,8.36052770877269e-06,7.65329273642938e-06,5.40601752839156e-06,5.67592148722462e-06,3.08080213972815e-06,4.48156038597138e-06,2.66079116635692e-06,3.9063907196881e-06,2.41325892603676e-06,2.56769595060969e-06,1.20229945298363e-06,1.24199121163555e-06
650102,1.21601115142702e-06,1.12868928239279e-06,8.5647598487453e-06,8.01484857433142e-06,1.63479528862173e-05,1.55310243263269e-05,1.54335991005449e-05,1.42717130745523e-05,1.4986886398626e-05,1.33746793290189e-05,1.93233914484331e-05,1.80929469302236e-05,1.71879748329598e-05,1.60715539123321e-05,1.79486132623984e-05,1.81773821259013e-05,1.61047506559319e-05,1.81788254625796e-05,1.6999619396448e-05,1.90917359115737e-05,2.37587650607004e-05,2.31525636558347e-05,2.09016801061013e-05,1.97260823816653e-05,1.5543292688092e-05,1.4877914479418e-05,1.00708816725009e-05,1.04064574501944e-05,7.1870949893541e-06,8.06825203142673e-06,4.42887859721519e-06,6.35212472098552e-06,3.78803711207146e-06,5.78705841145e-06,3.41493458074341e-06,3.76855206691506e-06,1.74788071736275e-06,2.07190980163025e-06
