"GBCounty","popgrp1","popgrp2","popgrp3","popgrp4","popgrp5","popgrp6","popgrp7","popgrp8","popgrp9","popgrp10","popgrp11","popgrp12","popgrp13","popgrp14","popgrp15","popgrp16","popgrp17","popgrp18","popgrp19","popgrp20","popgrp21","popgrp22","popgrp23","popgrp24","popgrp25","popgrp26","popgrp27","popgrp28","popgrp29","popgrp30","popgrp31","popgrp32","popgrp33","popgrp34","popgrp35","popgrp36"
522722,7.37028538547323e-06,7.07395249971548e-06,6.9686879820881e-06,6.75462064371982e-06,8.0160257036916e-06,7.57727611761446e-06,8.07617685662153e-06,7.6321198158741e-06,7.46935787265194e-06,6.7130455821359e-06,4.80236190083223e-06,4.34592079918747e-06,3.11282216412389e-06,2.80675894480395e-06,3.86028869685612e-06,3.61172290313096e-06,3.24020107621081e-06,2.95094479668011e-06,2.86956382506903e-06,2.65018903203046e-06,3.12343707346447e-06,2.87664043129608e-06,2.5723463635329e-06,2.43169881477027e-06,1.63646519000546e-06,1.63646519000546e-06,9.65072174214029e-07,1.08891278318742e-06,6.86430804023911e-07,8.7219171748399e-07,4.11327736947318e-07,6.30702529985887e-07,1.59223640108639e-07,3.06947795098321e-07,9.37650325084208e-08,6.10357287083117e-08
522723,1.23283326233006e-05,1.20815359811322e-05,1.17126678815472e-05,1.11430010802696e-05,1.25441691132256e-05,1.14897547853951e-05,1.51598596898992e-05,1.31925631587791e-05,1.21965308323218e-05,1.11368090498209e-05,8.20178661715168e-06,7.57462239027931e-06,7.44458975085726e-06,6.57416718493003e-06,7.26679001940261e-06,6.94657358762857e-06,6.30171784518858e-06,5.74355052902996e-06,5.19069066754163e-06,4.8890503271136e-06,4.5387583188746e-06,4.24684831200876e-06,3.88151851553727e-06,3.74087096677464e-06,2.77491421678223e-06,2.56969263619776e-06,1.97348856156874e-06,2.05663868473659e-06,1.58515979485934e-06,1.77534358721133e-06,1.0376073880413e-06,1.28617318176645e-06,4.06904858055411e-07,6.33356257321031e-07,2.57411551508967e-07,1.16764002746335e-07
522725,2.07760313068423e-05,1.92289082704533e-05,2.04301621774952e-05,1.89608818096038e-05,1.94208612143621e-05,1.84142139785641e-05,2.19082883031704e-05,2.04283930259384e-05,2.00878313512616e-05,1.78772764810866e-05,1.36923484735646e-05,1.23212560170735e-05,1.05963332492299e-05,9.43488525221525e-06,1.15888272725738e-05,1.062906255303e-05,8.90413978518645e-06,8.3804709243847e-06,6.82450213021195e-06,6.16637775109624e-06,6.08057390059325e-06,5.36406752010437e-06,5.70728292211633e-06,5.05446599767091e-06,3.97439897226731e-06,3.51795787062254e-06,2.66434224448456e-06,2.52369469572193e-06,1.9991412591418e-06,1.92483689375777e-06,1.3595929713721e-06,1.43832021564804e-06,4.97131587450307e-07,7.35082471834884e-07,2.61834430400873e-07,1.43301276097775e-07
522726,1.55649953963979e-05,1.44203543391724e-05,1.29369207588269e-05,1.19249660683587e-05,1.1315493357054e-05,1.04326867302294e-05,1.6551297389293e-05,1.56587604289063e-05,1.52377023583968e-05,1.47343787404978e-05,1.01593528147096e-05,9.66133665148087e-06,7.6038133909659e-06,6.77319673506583e-06,8.177018495357e-06,7.79930463798817e-06,6.76965843195231e-06,6.59893530672471e-06,6.13187929573937e-06,5.78158728750036e-06,6.12126438639879e-06,5.71789783145691e-06,5.48171609862909e-06,5.06242717967634e-06,3.4489609599088e-06,3.51884244640092e-06,2.20613199128303e-06,2.54846281751661e-06,1.45866545855081e-06,2.03540886605544e-06,8.27078352786542e-07,1.42770530630746e-06,3.43215402011955e-07,6.82892500910385e-07,3.09601522433465e-07,1.07033669184141e-07
522727,1.16003267576927e-05,1.03928808202022e-05,9.79313844245969e-06,9.17570454914952e-06,1.2790965755394e-05,1.20072316157482e-05,1.54906910310138e-05,1.46184993135298e-05,1.43973553689345e-05,1.31943323103359e-05,9.45876879823154e-06,8.16817273757319e-06,6.66350933854655e-06,6.08322762792839e-06,7.06510674193167e-06,6.43175048461064e-06,6.34152375521574e-06,6.02219189922008e-06,6.16726232687462e-06,5.87623689578716e-06,5.4719857650669e-06,5.10046393814674e-06,4.25746322134933e-06,4.12831515770566e-06,2.58384584865186e-06,2.6342666680196e-06,1.79922713322762e-06,2.03894716916896e-06,1.55685336995114e-06,1.9327980757632e-06,9.79225386668131e-07,1.33305569802066e-06,4.1309688850408e-07,6.86430804023911e-07,2.61834430400873e-07,1.19417730081479e-07
522728,1.20479221015537e-05,1.17860876711528e-05,1.39126078423815e-05,1.35172024694451e-05,1.6078049347859e-05,1.52235491459427e-05,1.57109503998308e-05,1.51147463252018e-05,1.36233515628508e-05,1.28113109982968e-05,9.02798039415984e-06,8.35658737836841e-06,6.17080062998815e-06,5.71966698301367e-06,7.13764195575894e-06,6.8979219198176e-06,6.43175048461064e-06,6.2964103905183e-06,6.40875151437272e-06,6.33356257321031e-06,5.37114412633143e-06,5.29241688205549e-06,4.07524061100278e-06,3.931939334905e-06,2.7333391551983e-06,2.88371703752313e-06,1.75234461697341e-06,2.00621786536885e-06,1.46928036789139e-06,1.91333740863881e-06,8.96959839278667e-07,1.28971148487998e-06,4.34326707185232e-07,7.27121289829452e-07,2.69795612406305e-07,1.22071457416623e-07
522729,1.12606496587943e-05,1.0800670254036e-05,1.2127533921608e-05,1.11774995356265e-05,1.20726902233484e-05,1.07015977668573e-05,9.99039884103872e-06,9.74537135042709e-06,9.43134694910172e-06,8.50431153335809e-06,6.78469622018479e-06,5.96734820096044e-06,5.64978549652154e-06,5.28534027582844e-06,5.41802664258564e-06,4.81120765861604e-06,4.38484213343625e-06,4.24861746356552e-06,4.17254394662473e-06,4.08674009612174e-06,3.64533678270945e-06,3.44011520212499e-06,3.18712652950793e-06,2.72272424585773e-06,2.65903478981427e-06,2.32024226669422e-06,2.02125565360134e-06,2.05221580584468e-06,1.40736006340469e-06,1.68157855470291e-06,8.34154959013593e-07,1.09068193474418e-06,3.62676069136345e-07,5.56398164601856e-07,1.94606671243892e-07,9.99570629570901e-08
522730,1.00708952368714e-05,9.43134694910172e-06,7.61265914874971e-06,7.22256123048355e-06,8.9350999374298e-06,8.33624213546564e-06,9.93378599122232e-06,9.35615800793931e-06,9.15624388202513e-06,8.09563752374592e-06,6.15045538708538e-06,5.41802664258564e-06,5.08719530147102e-06,4.49718325729067e-06,5.03765905788166e-06,4.58740998668557e-06,4.48391462061495e-06,4.04251130720267e-06,3.73114063321244e-06,3.33485068449761e-06,3.5436105681956e-06,3.06770879942645e-06,2.9465219177882e-06,2.57057721197614e-06,2.18667132415864e-06,1.84345592214669e-06,1.47901070145358e-06,1.40470633606955e-06,1.18356239147422e-06,1.2366369381771e-06,7.48351108510604e-07,8.78383747932659e-07,3.37907947341667e-07,4.03366554941886e-07,1.2649433630853e-07,9.19958809516582e-08
522731,1.80285389391899e-05,1.74013747123175e-05,1.79701569378167e-05,1.65132606308226e-05,1.9179372026864e-05,1.7718052840978e-05,1.88405795037439e-05,1.79577728769193e-05,1.65194526612713e-05,1.54429239389812e-05,1.22195298025597e-05,1.12756874470268e-05,1.00762026915417e-05,9.3756186750637e-06,9.51538164804795e-06,8.80418272222936e-06,8.18232595002729e-06,7.95498997498329e-06,7.72765399993928e-06,7.49324141866823e-06,7.06776046926681e-06,6.76169724994687e-06,5.74443510480835e-06,5.23934233535261e-06,4.28400049470077e-06,4.04693418609458e-06,2.98986613092889e-06,3.20039516618365e-06,2.54227078706794e-06,3.01640340428033e-06,1.50377882324826e-06,1.88414640795223e-06,5.81166286396533e-07,9.80994538224893e-07,3.33485068449761e-07,1.7956888301141e-07
522732,1.41762114243392e-05,1.33332107075418e-05,1.56171853673224e-05,1.42478620623881e-05,1.51324378407694e-05,1.39975271171061e-05,1.39214536001653e-05,1.32482914328172e-05,1.19311580988074e-05,1.12712645681349e-05,8.88379454228368e-06,7.89837712516688e-06,5.74089680169482e-06,5.34460685297999e-06,6.26721938983171e-06,5.74885798370025e-06,5.49852303841834e-06,5.34549142875837e-06,5.20484387999574e-06,5.12434748416304e-06,5.50383049308863e-06,5.32337703429883e-06,4.77494005170241e-06,4.22384934177084e-06,2.91556176554486e-06,2.73157000364154e-06,1.8098420425682e-06,1.91422198441719e-06,1.31536418245304e-06,1.57366030974038e-06,7.91695321651289e-07,1.07033669184141e-06,3.67983523806633e-07,5.96204074629015e-07,2.47681217946772e-07,1.02610790292234e-07
530100,4.07886737169414e-05,3.98722532105384e-05,3.73980947584058e-05,3.53936460445937e-05,5.04783167933305e-05,4.82810305598313e-05,8.91440086421567e-05,7.65458804064499e-05,0.000101619180844669,7.80142761985629e-05,8.03256727074733e-05,7.04883054760945e-05,6.15355140230971e-05,5.79821731213393e-05,6.59389322478794e-05,6.16098183884811e-05,5.14248128761985e-05,4.407929561252e-05,3.94158121088936e-05,3.46382183298561e-05,3.91062105864601e-05,3.20658719663232e-05,3.23047074264861e-05,2.85434912168087e-05,2.4851271917845e-05,2.30290458143795e-05,1.74969088963827e-05,1.67662493034397e-05,1.16029804850279e-05,1.15490213625466e-05,6.45563403062693e-06,7.9257989742967e-06,2.38127799540254e-06,4.11416194525156e-06,2.00091041069856e-06,7.41274502283553e-07
530121,4.10000873279746e-06,4.11327736947318e-06,2.88460161330151e-06,2.71653221540906e-06,6.11418778017174e-06,5.80104795462475e-06,7.85149460891267e-06,7.28801983808376e-06,7.77276736463673e-06,7.15710262288333e-06,6.75727437105497e-06,6.50605484999467e-06,3.78333060413694e-06,3.86648072730479e-06,5.00492975408156e-06,5.16592254574696e-06,3.71698742075834e-06,3.53034193151988e-06,2.70945560918201e-06,2.59003787910053e-06,2.43612169366218e-06,2.25301450753724e-06,2.33528005492671e-06,2.26274484109944e-06,2.1035212009908e-06,2.05044665428792e-06,1.65769500868661e-06,1.84610964948183e-06,1.04999144893864e-06,1.36136212292886e-06,7.00584016478012e-07,9.43842355532877e-07,2.89256279530694e-07,5.11284799904408e-07,2.11413611033137e-07,8.58038505029889e-08
530122,7.54985426848464e-06,7.40301468927334e-06,5.24022691113099e-06,4.91204929735152e-06,9.55695670963187e-06,9.32873615880949e-06,1.44937741287781e-05,1.36728878064402e-05,1.33243649497579e-05,1.32597909179361e-05,1.16419018192767e-05,1.14862164822815e-05,6.88023040424997e-06,6.48040215242161e-06,7.57727611761446e-06,7.50827920690072e-06,5.96292532206853e-06,5.7656649234895e-06,5.12965493883332e-06,4.80413105238899e-06,4.89524235756227e-06,4.30699946493869e-06,4.43172464969045e-06,4.09912415701908e-06,3.53741853774693e-06,3.57722444777409e-06,2.74660779187402e-06,3.00048104026947e-06,1.8142649214601e-06,2.30166617534822e-06,1.07387499495493e-06,1.44451224609671e-06,4.73248041434011e-07,7.30659592942977e-07,3.06947795098321e-07,1.08802820740903e-07
