utci_thres,year_1990_time_2G_apr2sep,year_2020_time_2G_apr2sep,cdf_percpoint_chg_time_2G_apr2sep,cdf_percent_chg_time_2G_apr2sep,year_1990_time_3G_oct2mar,year_2020_time_3G_oct2mar,cdf_percpoint_chg_time_3G_oct2mar,cdf_percent_chg_time_3G_oct2mar
21,0.5764509458405986,0.6397000567166232,0.06324911087602458,0.10972158400016635,0.08884977073077355,0.11618619729754764,0.027336426566774097,0.3076701981551202
22,0.5359906889590108,0.6020838508712063,0.0660931619121955,0.1233102799613183,0.07377721282892907,0.09754257904412723,0.02376536621519816,0.32212339425594877
23,0.4933166600558589,0.5624985986974133,0.06918193864155436,0.14023839907154323,0.06034216199313425,0.08047209981025108,0.020129937817116833,0.3335965625395925
24,0.4486380213172697,0.5210585719095853,0.07242055059231556,0.16142312321117538,0.04830961219295445,0.06514966802724388,0.01684005583428943,0.3485860281185492
25,0.4018479326885744,0.4770436696080715,0.0751957369194971,0.18712485694874179,0.03781656999736757,0.05184663730281079,0.01403006730544322,0.3710031688865452
26,0.35400658228569704,0.42958499115878784,0.07557840887309081,0.213494360429988,0.0287864911805566,0.04042516530833838,0.011638674127781783,0.4043102736898671
27,0.30686055612512253,0.3793606744730044,0.07250011834788189,0.23626405186569477,0.02119699050498585,0.03090275934105192,0.00970576883606607,0.4578842847423613
28,0.26308125701014495,0.3283954290401873,0.06531417203004236,0.24826615461824295,0.01508620170534507,0.02326800170013668,0.008181799994791612,0.5423366434171952
29,0.223863905172288,0.28057227161715953,0.05670836644487154,0.25331625659450635,0.01046817125312682,0.01722093138078227,0.006752760127655449,0.6450754352760912
30,0.18939180778015735,0.2387028471286166,0.04931103934845926,0.2603652181497662,0.0070175462617342,0.01260805963547956,0.005590513373745359,0.7966478830684349
31,0.15853567624066522,0.20247427707091736,0.04393860083025214,0.2771527637952678,0.00454664317406649,0.00915425284172806,0.0046076096676615705,1.0134091221283488
32,0.1302218925707315,0.17025235541036482,0.040030462839633324,0.30740194332447074,0.00279060656922021,0.00662009244551408,0.0038294858762938696,1.3722772384084072
33,0.10394446445548512,0.14026247902728434,0.036318014571799215,0.3493982557132962,0.00161840657952542,0.00478607636680208,0.0031676697872766602,1.9572768841594457
34,0.08004881073026511,0.11235600112110553,0.032307190390840415,0.40359363363565387,8.734153546501413e-4,0.00341503019294936,0.0025416148382992184,2.909972700579895
35,0.05906906431372963,0.08643063165740393,0.0273615673436743,0.46321314992143114,4.257183893845714e-4,0.00234383671318251,0.0019181183237979389,4.505603637584969
36,0.04140854290042468,0.06311123960125875,0.021702696700834072,0.5241115765174991,1.7982670692261732e-4,0.0015063360508781,0.0013265093439554826,7.376598096334509
37,0.02733104191404431,0.04331983066999381,0.015988788755949498,0.5850047285512928,6.604445230656916e-5,8.587271366563456e-4,7.926826843497765e-4,12.002259942595234
38,0.01691522647597455,0.02748873388574892,0.01057350740977437,0.6250881372940761,2.242741748948869e-5,4.1662061027875633e-4,3.9419319278926766e-4,17.576396969201586
39,0.00960499626221412,0.0160032525184734,0.006398256256259279,0.666138339004868,3.796471352118392e-6,1.7422710101994677e-4,1.7043062966782838e-4,44.89185189629571
40,0.00492418931529132,0.00825381644900622,0.0033296271337149,0.6761777260218754,5.91259083071976e-7,6.308214162879576e-5,6.249088254572378e-5,105.69120092167202
