daily_time,utci_thres,year_1990,year_2020,cdf_percpoint_chg,cdf_percent_chg
1G_6t22,-37,0.9986355870119812,0.9997104945860196,0.0010749075740383862,0.0010763761956997934
1G_6t22,-36,0.9982480748406202,0.999598786723318,0.0013507118826978637,0.0013530823817651918
1G_6t22,-35,0.9978217433146568,0.9994619235500284,0.0016401802353716022,0.0016437607682541567
1G_6t22,-34,0.9973330156547736,0.9992820175084508,0.0019490018536771903,0.0019542137110517923
1G_6t22,-33,0.9967746947632228,0.9990595763900442,0.002284881626821389,0.0022922749131027522
1G_6t22,-32,0.996131322224209,0.998780036127892,0.002648713903683042,0.0026590007206769373
1G_6t22,-31,0.9954228861401816,0.9984497243087356,0.0030268381685539802,0.00304075605523874
1G_6t22,-30,0.994636663047482,0.9980583311929552,0.003421668145473178,0.003440118661008813
1G_6t22,-29,0.9937412146898804,0.9975840329686648,0.00384281827878441,0.003867021133850878
1G_6t22,-28,0.9927613279084432,0.9970191213341248,0.004257793425681666,0.004288838924308239
1G_6t22,-27,0.9916564675364848,0.9963906650176908,0.0047341974812059595,0.004774029753435536
1G_6t22,-26,0.9904843199754668,0.9956435976777964,0.005159277702329601,0.005208843389320278
1G_6t22,-25,0.9891973915538548,0.9947904418925422,0.0055930503386874,0.00565412968780852
1G_6t22,-24,0.9878070435653392,0.9938514588670274,0.0060444153016882,0.00611902429838099
1G_6t22,-23,0.9862557605186226,0.992812945093931,0.006557184575308406,0.006648564031565514
1G_6t22,-22,0.9845942905866356,0.9916606460672992,0.007066355480663589,0.007176921040699262
1G_6t22,-21,0.9828038349632728,0.9903993453239952,0.007595510360722368,0.007728409363610401
1G_6t22,-20,0.9808462746910108,0.9889817764965488,0.008135501805538015,0.008294369887983604
1G_6t22,-19,0.9787187545324214,0.9874020975307296,0.008683342998308197,0.008872153474219083
1G_6t22,-18,0.9763412603690532,0.9856028621305716,0.009261601761518357,0.009486029257861649
1G_6t22,-17,0.9736717767399156,0.9835804387996108,0.009908662059695206,0.01017659369040331
1G_6t22,-16,0.9706664071820096,0.9812489379200466,0.010582530738037055,0.010902335405589787
1G_6t22,-15,0.9672497114772134,0.9785821661422665,0.01133245466505306,0.011716162362815067
1G_6t22,-14,0.9634368878345017,0.9755441189171776,0.012107231082675973,0.012566709076179511
1G_6t22,-13,0.9592428434720004,0.972100063855548,0.01285722038354764,0.013403509310541897
1G_6t22,-12,0.9546296643689028,0.968249414157024,0.013619749788121194,0.014267050665270379
1G_6t22,-11,0.9496720708588192,0.9640061372233903,0.01433406636457113,0.015093701083162705
1G_6t22,-10,0.9444706409011036,0.9593638658487365,0.0148932249476329,0.015768859615819846
1G_6t22,-9,0.938795701002342,0.9542467231399075,0.015451022137565551,0.016458343515067933
1G_6t22,-8,0.9326730170483752,0.9487124646124124,0.01603944756403719,0.01719728915799144
1G_6t22,-7,0.925967366654295,0.942621467079478,0.016654100425183005,0.017985623494872822
1G_6t22,-6,0.9185650186275558,0.935836980407443,0.017271961779887213,0.018803200023547115
1G_6t22,-5,0.9103220497927104,0.9284463192471,0.018124269454389608,0.01990973354816209
1G_6t22,-4,0.9012200068693336,0.9203310320965388,0.019111025227205203,0.02120572677208228
1G_6t22,-3,0.8912627119688031,0.9115091849305924,0.020246472961789275,0.022716616200698814
1G_6t22,-2,0.8804418550569518,0.9018793162614728,0.021437461204520947,0.024348525778723065
1G_6t22,-1,0.8688712005109274,0.8914876051596882,0.0226164046487608,0.026029640107143093
1G_6t22,0,0.8564988999721054,0.8802633838399633,0.0237644838678579,0.027746076344793747
1G_6t22,1,0.8432638425476485,0.8680919518949082,0.024828109347259653,0.029442871963120777
1G_6t22,2,0.8291258345541986,0.8550242982308685,0.025898463676669814,0.031235866254963343
1G_6t22,3,0.8139614833424045,0.8409081742303055,0.026946690887901026,0.03310560934314569
1G_6t22,4,0.7979842592757326,0.8258605964307252,0.027876337154992603,0.03493344239683845
1G_6t22,5,0.7813397746432579,0.8097878635309598,0.028448088887701894,0.03640936991936786
1G_6t22,6,0.763861345272416,0.7928560272756909,0.02899468200327493,0.037958043279352684
1G_6t22,7,0.745662050890343,0.775034568910779,0.029372518020436056,0.039391193350076466
1G_6t22,8,0.7266716850280664,0.7564680812091423,0.02979639618107588,0.04100393175485439
1G_6t22,9,0.7068261397102686,0.7372103091680553,0.03038416945778666,0.042986765416232725
1G_6t22,10,0.6863429239164557,0.7171034139567736,0.03076049004031789,0.04481796048073219
1G_6t22,11,0.665119715897668,0.6963088941977907,0.03118917830012269,0.04689257821507925
1G_6t22,12,0.6431394760895985,0.6743802588891431,0.031240782799544564,0.04857543963790566
1G_6t22,13,0.6202990457126135,0.6514771436056848,0.031178097893071244,0.05026301121784436
1G_6t22,14,0.5965609105843052,0.6275574039844533,0.030996493400148095,0.051958639679875095
1G_6t22,15,0.572278678733308,0.6028746271006564,0.03059594836734847,0.05346337283623793
1G_6t22,16,0.5470493757445675,0.5774579985037398,0.030408622759172332,0.05558661449486958
1G_6t22,17,0.5212731679160065,0.5511789892395086,0.029905821323502058,0.057370728370812335
1G_6t22,18,0.494777524476485,0.5242373579605212,0.02945983348403619,0.05954157581269905
1G_6t22,19,0.46763959396179866,0.4962561817733829,0.028616587811584215,0.06119368030655226
