utci_thres,year_1990_time_0G_24,year_2020_time_0G_24,cdf_percpoint_chg_time_0G_24,cdf_percent_chg_time_0G_24,year_1990_time_1G_6t22,year_2020_time_1G_6t22,cdf_percpoint_chg_time_1G_6t22,cdf_percent_chg_time_1G_6t22
26,0.19184204370724345,0.23536015106736827,0.04351810736012482,0.22684343076815175,0.25421757721718197,0.303646719869992,0.04942914265281001,0.19443636901071532
27,0.16442009326795848,0.2054496529609807,0.041029559693022216,0.24954103161926555,0.224492994024244,0.27307869371800625,0.04858569969376225,0.2164241245253082
28,0.1394234486115872,0.17611011630751605,0.03668666769592885,0.2631312599226576,0.1961468102713403,0.24246361191623475,0.04631680164489446,0.23613334104603573
29,0.11745836113588436,0.14913688556852964,0.03167852443264528,0.2697000377520785,0.16950258954451092,0.2124301399863634,0.04292755044185248,0.25325601548157956
30,0.09845450477645046,0.12586174424654914,0.027407239470098682,0.27837466180272,0.1445364295980689,0.18403496706334577,0.03949853746527687,0.2732773846366314
31,0.081752103588279,0.1059906518397435,0.0242385482514645,0.29648837384705096,0.12126391303248382,0.1574274763036181,0.03616356327113429,0.298221971951762
32,0.06668081297545737,0.08858552343794387,0.0219047104624865,0.3285009507989769,0.09949285132994574,0.13249062204995765,0.03299777072001191,0.3316597150340198
33,0.05292160819952713,0.07264788755348527,0.019726279353958133,0.37274527409645863,0.07921188145012885,0.10889306342408332,0.029681181973954474,0.37470618587239973
34,0.04056957248817764,0.05798491435312977,0.017415341864952125,0.4292710225139079,0.06080661322109045,0.08696426736201443,0.026157654140923983,0.4301777842126445
35,0.02982772470213839,0.044463955713527,0.014636231011388612,0.4906921717143018,0.04472849552082798,0.06669390578869445,0.021965410267866477,0.4910831453662064
36,0.0208506624970894,0.03236499667967279,0.01151433418258339,0.5522286970109802,0.03127153832396454,0.04854732516957149,0.017275786845606954,0.5524444197990694
37,0.01373589249476686,0.02212802078611096,0.008392128291344099,0.6109634517408574,0.02060194802058734,0.03319201556343468,0.01259006754284734,0.6111105382008634
38,0.00849196776736008,0.01397737808129438,0.0054854103139343,0.6459527949479681,0.01273704566531117,0.02096606459714241,0.008229018931831242,0.6460696733028636
39,0.00481754869526375,0.00810318235118595,0.0032856336559222007,0.6820135848657612,0.00722616837271527,0.01215477352677893,0.00492860515406366,0.6820495869807295
40,0.00246913494205871,0.00416592259304322,0.0016967876509845102,0.6871992381144492,0.0037036857655324,0.00624888388956483,0.00254519812403243,0.6872068218418528
